scp_overall,scp_high,scp_low,cwaci_overall,cwaci_high,cwaci_low
0.928,0.888,0.968,1.0,1.0,1.0
0.82,0.768,0.872,0.956,0.96,0.952
0.9,0.872,0.928,0.988,0.984,0.992
0.932,0.896,0.968,1.0,1.0,1.0
0.924,0.912,0.936,0.984,0.984,0.984
0.9,0.848,0.952,0.988,0.976,1.0
0.916,0.88,0.952,0.984,0.976,0.992
0.908,0.872,0.944,0.988,0.984,0.992
0.884,0.84,0.928,0.968,0.968,0.968
0.896,0.84,0.952,0.988,0.992,0.984
0.912,0.864,0.96,0.98,0.968,0.992
0.816,0.768,0.864,0.964,0.96,0.968
0.912,0.864,0.96,0.992,0.984,1.0
0.896,0.84,0.952,0.988,0.992,0.984
0.904,0.864,0.944,0.98,0.968,0.992
0.876,0.8,0.952,0.972,0.96,0.984
0.868,0.784,0.952,0.98,0.968,0.992
0.868,0.8,0.936,0.98,0.968,0.992
0.92,0.872,0.968,0.988,0.992,0.984
0.888,0.848,0.928,0.968,0.96,0.976
0.912,0.88,0.944,0.992,0.992,0.992
0.94,0.912,0.968,0.988,0.992,0.984
0.936,0.904,0.968,1.0,1.0,1.0
0.952,0.912,0.992,0.996,1.0,0.992
0.876,0.784,0.968,0.972,0.96,0.984
0.888,0.832,0.944,0.98,0.976,0.984
0.86,0.8,0.92,0.98,0.992,0.968
0.9,0.84,0.96,0.984,0.984,0.984
0.892,0.84,0.944,0.98,0.968,0.992
0.9,0.816,0.984,0.98,0.968,0.992
0.924,0.88,0.968,1.0,1.0,1.0
0.896,0.848,0.944,0.98,0.968,0.992
0.888,0.824,0.952,0.98,0.976,0.984
0.916,0.888,0.944,0.98,0.984,0.976
0.796,0.688,0.904,0.952,0.928,0.976
0.852,0.76,0.944,0.98,0.976,0.984
0.872,0.8,0.944,0.984,0.976,0.992
0.916,0.88,0.952,1.0,1.0,1.0
0.904,0.816,0.992,0.992,0.984,1.0
0.904,0.88,0.928,0.98,0.976,0.984
0.92,0.896,0.944,0.984,0.984,0.984
0.868,0.816,0.92,0.984,0.992,0.976
0.92,0.848,0.992,0.992,0.984,1.0
0.916,0.856,0.976,0.98,0.968,0.992
0.92,0.864,0.976,0.992,0.984,1.0
0.876,0.848,0.904,0.976,0.984,0.968
0.852,0.76,0.944,0.992,0.992,0.992
0.944,0.896,0.992,0.992,0.984,1.0
0.912,0.872,0.952,1.0,1.0,1.0
0.88,0.824,0.936,0.976,0.976,0.976
0.884,0.792,0.976,0.98,0.976,0.984
0.932,0.896,0.968,0.992,0.992,0.992
0.876,0.816,0.936,0.992,0.992,0.992
0.92,0.872,0.968,0.976,0.984,0.968
0.896,0.832,0.96,0.984,0.984,0.984
0.868,0.776,0.96,0.98,0.968,0.992
0.92,0.904,0.936,0.972,0.96,0.984
0.892,0.832,0.952,0.988,0.984,0.992
0.848,0.808,0.888,0.96,0.96,0.96
0.9,0.84,0.96,0.984,0.984,0.984
