delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.0,61,saci,0.872,0.864,0.88
0.0,61,vol_scaling,0.816,0.984,0.648
0.0,62,standard,0.864,0.864,0.864
0.0,62,saci,0.872,0.864,0.88
0.0,62,vol_scaling,0.784,0.952,0.616
0.0,63,standard,0.908,0.896,0.92
0.0,63,saci,0.904,0.896,0.912
0.0,63,vol_scaling,0.82,0.984,0.656
0.0,64,standard,0.948,0.96,0.936
0.0,64,saci,0.944,0.968,0.92
0.0,64,vol_scaling,0.868,0.992,0.744
0.0,65,standard,0.912,0.912,0.912
0.0,65,saci,0.916,0.92,0.912
0.0,65,vol_scaling,0.84,1.0,0.68
0.0,66,standard,0.912,0.904,0.92
0.0,66,saci,0.904,0.896,0.912
0.0,66,vol_scaling,0.8,0.968,0.632
0.0,67,standard,0.892,0.904,0.88
0.0,67,saci,0.888,0.896,0.88
0.0,67,vol_scaling,0.868,1.0,0.736
0.0,68,standard,0.86,0.864,0.856
0.0,68,saci,0.844,0.832,0.856
0.0,68,vol_scaling,0.796,0.984,0.608
0.0,69,standard,0.9,0.888,0.912
0.0,69,saci,0.9,0.88,0.92
0.0,69,vol_scaling,0.868,0.992,0.744
0.0,70,standard,0.9,0.92,0.88
0.0,70,saci,0.892,0.904,0.88
0.0,70,vol_scaling,0.828,0.992,0.664
0.0,71,standard,0.94,0.92,0.96
0.0,71,saci,0.94,0.92,0.96
0.0,71,vol_scaling,0.86,0.976,0.744
0.0,72,standard,0.94,0.96,0.92
0.0,72,saci,0.948,0.952,0.944
0.0,72,vol_scaling,0.8,0.968,0.632
0.0,73,standard,0.896,0.904,0.888
0.0,73,saci,0.912,0.92,0.904
0.0,73,vol_scaling,0.8,0.96,0.64
0.0,74,standard,0.932,0.912,0.952
0.0,74,saci,0.924,0.896,0.952
0.0,74,vol_scaling,0.84,0.976,0.704
0.0,75,standard,0.924,0.92,0.928
0.0,75,saci,0.928,0.912,0.944
0.0,75,vol_scaling,0.86,0.992,0.728
0.0,76,standard,0.872,0.856,0.888
0.0,76,saci,0.86,0.832,0.888
0.0,76,vol_scaling,0.82,0.976,0.664
0.0,77,standard,0.912,0.912,0.912
0.0,77,saci,0.908,0.904,0.912
0.0,77,vol_scaling,0.828,0.976,0.68
0.0,78,standard,0.888,0.864,0.912
0.0,78,saci,0.892,0.872,0.912
