method,lambda,beta,crowding_bin,covered,set_size,crowding,factor
crowding_weighted,0.5,,low,1,1,0.2023764058850081,MKT
crowding_weighted,0.5,,low,1,1,0.369510118092312,MKT
crowding_weighted,1.0,,high,1,2,0.8537450571001526,MKT
crowding_weighted,1.0,,high,1,2,0.892480132999583,MKT
crowding_weighted,1.0,,high,1,2,0.9048435228566891,MKT
crowding_weighted,1.0,,high,1,1,0.6910620471269924,MKT
crowding_weighted,1.0,,medium,1,1,0.4726050115986619,MKT
crowding_weighted,1.0,,medium,1,1,0.4847532208906744,MKT
crowding_weighted,1.0,,low,1,1,0.34827043240905736,MKT
crowding_weighted,1.0,,low,1,1,0.2732937544530628,MKT
crowding_weighted,1.0,,low,1,1,0.277819585702732,MKT
crowding_weighted,1.0,,low,1,1,0.21467887593145496,MKT
crowding_weighted,1.0,,low,1,1,0.2023764058850081,MKT
crowding_weighted,1.0,,low,1,1,0.369510118092312,MKT
crowding_weighted,2.0,,high,1,2,0.8537450571001526,MKT
crowding_weighted,2.0,,high,1,2,0.892480132999583,MKT
crowding_weighted,2.0,,high,1,2,0.9048435228566891,MKT
crowding_weighted,2.0,,high,1,1,0.6910620471269924,MKT
crowding_weighted,2.0,,medium,1,1,0.4726050115986619,MKT
crowding_weighted,2.0,,medium,1,1,0.4847532208906744,MKT
crowding_weighted,2.0,,low,1,1,0.34827043240905736,MKT
crowding_weighted,2.0,,low,1,1,0.2732937544530628,MKT
crowding_weighted,2.0,,low,1,1,0.277819585702732,MKT
crowding_weighted,2.0,,low,1,1,0.21467887593145496,MKT
crowding_weighted,2.0,,low,1,1,0.2023764058850081,MKT
crowding_weighted,2.0,,low,1,1,0.369510118092312,MKT
crowding_weighted,5.0,,high,1,2,0.8537450571001526,MKT
crowding_weighted,5.0,,high,1,2,0.892480132999583,MKT
crowding_weighted,5.0,,high,1,2,0.9048435228566891,MKT
crowding_weighted,5.0,,high,1,2,0.6910620471269924,MKT
crowding_weighted,5.0,,medium,1,1,0.4726050115986619,MKT
crowding_weighted,5.0,,medium,1,1,0.4847532208906744,MKT
crowding_weighted,5.0,,low,1,1,0.34827043240905736,MKT
crowding_weighted,5.0,,low,1,1,0.2732937544530628,MKT
crowding_weighted,5.0,,low,1,1,0.277819585702732,MKT
crowding_weighted,5.0,,low,1,1,0.21467887593145496,MKT
crowding_weighted,5.0,,low,1,1,0.2023764058850081,MKT
crowding_weighted,5.0,,low,1,1,0.369510118092312,MKT
cao,,0.25,high,1,2,0.8537450571001526,MKT
cao,,0.25,high,1,2,0.892480132999583,MKT
cao,,0.25,high,1,2,0.9048435228566891,MKT
cao,,0.25,high,1,1,0.6910620471269924,MKT
cao,,0.25,medium,1,1,0.4726050115986619,MKT
cao,,0.25,medium,1,1,0.4847532208906744,MKT
cao,,0.25,low,1,1,0.34827043240905736,MKT
cao,,0.25,low,1,1,0.2732937544530628,MKT
cao,,0.25,low,1,1,0.277819585702732,MKT
cao,,0.25,low,1,1,0.21467887593145496,MKT
cao,,0.25,low,1,1,0.2023764058850081,MKT
cao,,0.25,low,1,1,0.369510118092312,MKT
cao,,0.5,high,1,2,0.8537450571001526,MKT
cao,,0.5,high,1,2,0.892480132999583,MKT
cao,,0.5,high,1,2,0.9048435228566891,MKT
cao,,0.5,high,1,1,0.6910620471269924,MKT
cao,,0.5,medium,1,1,0.4726050115986619,MKT
cao,,0.5,medium,1,1,0.4847532208906744,MKT
cao,,0.5,low,1,1,0.34827043240905736,MKT
cao,,0.5,low,1,1,0.2732937544530628,MKT
cao,,0.5,low,1,1,0.277819585702732,MKT
cao,,0.5,low,1,1,0.21467887593145496,MKT
cao,,0.5,low,1,1,0.2023764058850081,MKT
cao,,0.5,low,1,1,0.369510118092312,MKT
cao,,1.0,high,1,2,0.8537450571001526,MKT
cao,,1.0,high,1,2,0.892480132999583,MKT
cao,,1.0,high,1,2,0.9048435228566891,MKT
cao,,1.0,high,1,1,0.6910620471269924,MKT
cao,,1.0,medium,1,1,0.4726050115986619,MKT
cao,,1.0,medium,1,1,0.4847532208906744,MKT
cao,,1.0,low,1,1,0.34827043240905736,MKT
cao,,1.0,low,1,1,0.2732937544530628,MKT
cao,,1.0,low,1,1,0.277819585702732,MKT
cao,,1.0,low,1,1,0.21467887593145496,MKT
cao,,1.0,low,1,1,0.2023764058850081,MKT
cao,,1.0,low,1,1,0.369510118092312,MKT
cao,,2.0,high,1,2,0.8537450571001526,MKT
cao,,2.0,high,1,2,0.892480132999583,MKT
cao,,2.0,high,1,2,0.9048435228566891,MKT
cao,,2.0,high,1,1,0.6910620471269924,MKT
cao,,2.0,medium,1,1,0.4726050115986619,MKT
cao,,2.0,medium,1,1,0.4847532208906744,MKT
cao,,2.0,low,1,1,0.34827043240905736,MKT
cao,,2.0,low,1,1,0.2732937544530628,MKT
cao,,2.0,low,1,1,0.277819585702732,MKT
cao,,2.0,low,1,1,0.21467887593145496,MKT
cao,,2.0,low,1,1,0.2023764058850081,MKT
cao,,2.0,low,1,1,0.369510118092312,MKT
split,,,low,1,1,0.2964561605553757,MKT
split,,,low,1,1,0.2918212395034469,MKT
split,,,low,1,2,0.12160531393286161,MKT
split,,,low,1,1,0.23148046538709285,MKT
split,,,low,1,1,0.23691059563077707,MKT
split,,,medium,1,1,0.47400269561465724,MKT
split,,,medium,1,1,0.4970307148059514,MKT
split,,,medium,1,1,0.5189138684269556,MKT
split,,,high,1,1,0.6334696634210449,MKT
split,,,high,1,1,0.5742218372497473,MKT
split,,,high,1,1,0.652215127494034,MKT
split,,,high,1,2,0.8132517216917011,MKT
aci,,,low,1,1,0.2964561605553757,MKT
aci,,,low,1,1,0.2918212395034469,MKT
aci,,,low,1,1,0.12160531393286161,MKT
aci,,,low,1,1,0.23148046538709285,MKT
aci,,,low,1,1,0.23691059563077707,MKT
aci,,,medium,1,1,0.47400269561465724,MKT
aci,,,medium,1,1,0.4970307148059514,MKT
aci,,,medium,1,1,0.5189138684269556,MKT
aci,,,high,1,1,0.6334696634210449,MKT
aci,,,high,1,1,0.5742218372497473,MKT
aci,,,high,1,1,0.652215127494034,MKT
aci,,,high,0,1,0.8132517216917011,MKT
crowding_weighted,0.5,,low,1,1,0.2964561605553757,MKT
crowding_weighted,0.5,,low,1,1,0.2918212395034469,MKT
crowding_weighted,0.5,,low,1,1,0.12160531393286161,MKT
crowding_weighted,0.5,,low,1,1,0.23148046538709285,MKT
crowding_weighted,0.5,,low,1,1,0.23691059563077707,MKT
crowding_weighted,0.5,,medium,1,1,0.47400269561465724,MKT
crowding_weighted,0.5,,medium,1,1,0.4970307148059514,MKT
crowding_weighted,0.5,,medium,1,1,0.5189138684269556,MKT
crowding_weighted,0.5,,high,1,1,0.6334696634210449,MKT
crowding_weighted,0.5,,high,1,1,0.5742218372497473,MKT
crowding_weighted,0.5,,high,1,1,0.652215127494034,MKT
crowding_weighted,0.5,,high,1,2,0.8132517216917011,MKT
crowding_weighted,1.0,,low,1,1,0.2964561605553757,MKT
crowding_weighted,1.0,,low,1,1,0.2918212395034469,MKT
crowding_weighted,1.0,,low,0,0,0.12160531393286161,MKT
crowding_weighted,1.0,,low,0,0,0.23148046538709285,MKT
crowding_weighted,1.0,,low,1,1,0.23691059563077707,MKT
crowding_weighted,1.0,,medium,1,1,0.47400269561465724,MKT
crowding_weighted,1.0,,medium,1,1,0.4970307148059514,MKT
